pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
289,Davie, Florida,105149,91992,0.14300000000000002,34.9,90.4,2919,1127,26.0791,-80.2850,Davie Florida
290,Green Bay, Wisconsin,105116,104057,0.0102,45.4,117.6,2316,894,44.5207,-87.9842,Green Bay Wisconsin
291,Tyler, Texas,104991,96900,0.08349999999999999,56.6,146.6,1852,715,32.3173,-95.3059,Tyler Texas
292,League City, Texas,104903,83560,0.2554,51.2,132.6,1992,769,29.4901,-95.1091,League City Texas
293,Burbank, California,104834,103340,0.014499999999999999,17.4,45.1,6003,2318,34.1901,-118.3264,Burbank California
294,San Mateo, California,104748,97207,0.0776,12.1,31.3,8592,3317,37.5603,-122.3106,San Mateo California
295,Wichita Falls, Texas,104747,104553,0.0019,72.2,187.0,1450,560,33.9067,-98.5259,Wichita Falls Texas
296,El Cajon, California,103894,99478,0.0444,14.5,37.6,7156,2763,32.8017,-116.9604,El Cajon California
297,Rialto, California,103562,99171,0.0443,22.3,57.8,4633,1789,34.1118,-117.3883,Rialto California
298,Lakewood , New Jersey,102682,92843,0.106,24.7,64.0,4079,1575,40.0771,-74.2004,Lakewood  New Jersey
299,Edison , New Jersey,102450,99967,0.0248,30.1,78.0,3389,1309,40.5040,-74.3494,Edison  New Jersey
300,Davenport, Iowa,102320,99685,0.0264,62.9,162.9,1631,630,41.5541,-90.6040,Davenport Iowa
301,South Bend, Indiana,102245,101168,0.0106,41.4,107.2,2457,949,41.6769,-86.2690,South Bend Indiana
302,Woodbridge, New Jersey,101965,99585,0.0239,23.3,60.3,4351,1680,40.5607,-74.2927,Woodbridge New Jersey
303,Las Cruces, New Mexico,101712,97618,0.04190000000000001,76.9,199.2,1323,511,32.3264,-106.7897,Las Cruces New Mexico
304,Vista, California,101568,93834,0.0824,18.7,48.4,5436,2099,33.1895,-117.2386,Vista California
305,Renton, Washington,101379,90927,0.1149,23.4,60.6,4314,1666,47.4761,-122.1920,Renton Washington
306,Sparks, Nevada,100888,90264,0.1177,35.9,93.0,2810,1080,39.5544,-119.7356,Sparks Nevada
307,Clinton, Michigan,100712,96796,0.0405,28.1,72.8,3573,1380,42.5903,-82.9170,Clinton Michigan
308,Allen, Texas,100685,84246,0.19510000000000002,27.1,70.2,3715,1434,33.0997,-96.6631,Allen Texas
309,Tuscaloosa, Alabama,100287,90468,0.1085,71.7,185.7,1399,540,33.2065,-87.5346,Tuscaloosa Alabama
310,San Angelo, Texas,100119,93200,0.0742,59.9,155.1,1681,649,31.4411,-100.4505,San Angelo Texas
311,Vacaville, California,100032,92428,0.0823,29.0,75.1,3449,1332,38.3539,-121.9728,Vacaville California
